fecha_semana,codigo_dane,anio,semana_epi,casos_ira_total,edad_promedio,rezago_reporte_dias,periodo_pandemia,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado
2019-03-11,05088,2019,11,2,0.0,8,False,0.5,0.0,0.0,0.5
2019-03-11,05234,2019,11,1,0.0,8,False,0.0,0.0,0.0,1.0
2019-03-11,05360,2019,11,1,0.0,8,False,1.0,0.0,0.0,0.0
2019-03-11,05756,2019,11,1,0.0,3,False,0.0,0.0,1.0,0.0
2019-03-18,05001,2019,12,8,0.0,10,False,0.5,0.0,0.125,0.375
2019-03-18,05138,2019,12,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-03-18,05284,2019,12,1,0.0,10,False,0.0,0.0,0.0,1.0
2019-03-18,05697,2019,12,1,0.0,11,False,0.0,0.0,0.0,1.0
2019-03-18,05847,2019,12,1,0.0,13,False,0.0,1.0,0.0,0.0
2019-03-25,05001,2019,13,9,0.0,6,False,0.5555555555555556,0.0,0.0,0.4444444444444444
2019-03-25,05088,2019,13,1,0.0,3,False,0.0,0.0,0.0,1.0
2019-03-25,05212,2019,13,2,0.0,9,False,0.5,0.0,0.0,0.5
2019-03-25,05266,2019,13,1,0.0,10,False,1.0,0.0,0.0,0.0
2019-03-25,05360,2019,13,1,0.0,8,False,1.0,0.0,0.0,0.0
2019-03-25,05361,2019,13,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-04-01,05001,2019,14,7,0.0,7,False,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714
2019-04-01,05088,2019,14,1,0.0,10,False,0.0,0.0,0.0,1.0
2019-04-01,05266,2019,14,1,0.0,10,False,1.0,0.0,0.0,0.0
2019-04-08,05001,2019,15,12,0.0,11,False,0.6666666666666666,0.0,0.0,0.3333333333333333
2019-04-08,05154,2019,15,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-04-08,05266,2019,15,1,0.0,11,False,1.0,0.0,0.0,0.0
2019-04-08,05501,2019,15,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-04-15,05001,2019,16,10,0.0,11,False,0.4,0.1,0.1,0.4
2019-04-15,05088,2019,16,2,0.0,9,False,1.0,0.0,0.0,0.0
2019-04-15,05129,2019,16,1,0.0,7,False,1.0,0.0,0.0,0.0
2019-04-15,05686,2019,16,1,0.0,8,False,1.0,0.0,0.0,0.0
2019-04-15,05697,2019,16,1,0.0,9,False,1.0,0.0,0.0,0.0
2019-04-15,05756,2019,16,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-04-15,05789,2019,16,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-04-22,05001,2019,17,5,0.0,8,False,0.4,0.2,0.0,0.4
2019-04-22,05088,2019,17,3,0.0,6,False,0.3333333333333333,0.0,0.0,0.6666666666666666
2019-04-22,05308,2019,17,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-04-22,05318,2019,17,1,0.0,14,False,1.0,0.0,0.0,0.0
2019-04-22,05360,2019,17,3,0.0,8,False,1.0,0.0,0.0,0.0
2019-04-22,05579,2019,17,1,0.0,11,False,0.0,1.0,0.0,0.0
2019-04-22,05686,2019,17,1,0.0,14,False,0.0,0.0,0.0,1.0
2019-04-29,05001,2019,18,10,0.0,8,False,0.5,0.0,0.0,0.5
2019-04-29,05079,2019,18,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-04-29,05088,2019,18,2,0.0,10,False,0.5,0.0,0.0,0.5
2019-04-29,05360,2019,18,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-05-06,05001,2019,19,10,0.0,10,False,0.8,0.0,0.0,0.2
2019-05-06,05088,2019,19,2,0.0,7,False,1.0,0.0,0.0,0.0
2019-05-06,05129,2019,19,1,0.0,1,False,0.0,0.0,0.0,1.0
2019-05-13,05001,2019,20,12,0.0,8,False,0.5,0.0,0.16666666666666666,0.3333333333333333
2019-05-13,05040,2019,20,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-05-13,05042,2019,20,1,0.0,6,False,0.0,0.0,0.0,1.0
2019-05-13,05051,2019,20,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-05-13,05088,2019,20,3,0.0,5,False,0.6666666666666666,0.0,0.0,0.3333333333333333
2019-05-13,05091,2019,20,1,0.0,14,False,0.0,0.0,0.0,1.0
2019-05-13,05129,2019,20,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-05-13,05212,2019,20,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-05-13,05318,2019,20,1,0.0,10,False,1.0,0.0,0.0,0.0
2019-05-13,05607,2019,20,1,0.0,5,False,0.0,0.0,1.0,0.0
2019-05-13,05895,2019,20,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-05-20,05001,2019,21,11,0.0,8,False,0.5454545454545454,0.0,0.09090909090909091,0.36363636363636365
2019-05-20,05034,2019,21,1,0.0,15,False,0.0,0.0,0.0,1.0
2019-05-20,05088,2019,21,2,0.0,12,False,0.5,0.0,0.0,0.5
2019-05-20,05129,2019,21,1,0.0,13,False,1.0,0.0,0.0,0.0
2019-05-20,05147,2019,21,1,0.0,14,False,1.0,0.0,0.0,0.0
2019-05-20,05360,2019,21,3,0.0,11,False,1.0,0.0,0.0,0.0
2019-05-20,05380,2019,21,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-05-20,05660,2019,21,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-05-20,05736,2019,21,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-05-20,05887,2019,21,1,0.0,12,False,1.0,0.0,0.0,0.0
2019-05-27,05001,2019,22,12,0.0,8,False,0.5,0.0,0.16666666666666666,0.3333333333333333
2019-05-27,05030,2019,22,2,0.0,7,False,1.0,0.0,0.0,0.0
2019-05-27,05088,2019,22,1,0.0,10,False,1.0,0.0,0.0,0.0
2019-05-27,05264,2019,22,1,0.0,6,False,0.0,0.0,0.0,1.0
2019-05-27,05425,2019,22,1,0.0,10,False,0.0,0.0,0.0,1.0
2019-05-27,05837,2019,22,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-06-03,05001,2019,23,6,0.0,5,False,0.3333333333333333,0.0,0.0,0.6666666666666666
2019-06-03,05088,2019,23,2,0.0,11,False,0.5,0.0,0.0,0.5
2019-06-03,05318,2019,23,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-06-03,05440,2019,23,1,0.0,11,False,1.0,0.0,0.0,0.0
2019-06-03,05649,2019,23,1,0.0,5,False,1.0,0.0,0.0,0.0
2019-06-03,05656,2019,23,1,0.0,6,False,1.0,0.0,0.0,0.0
2019-06-03,05697,2019,23,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-06-03,05756,2019,23,1,0.0,14,False,0.0,0.0,0.0,1.0
2019-06-10,05001,2019,24,8,0.0,10,False,0.25,0.0,0.25,0.5
2019-06-10,05042,2019,24,1,0.0,6,False,0.0,0.0,0.0,1.0
2019-06-10,05212,2019,24,1,0.0,9,False,1.0,0.0,0.0,0.0
2019-06-10,05360,2019,24,1,0.0,5,False,1.0,0.0,0.0,0.0
2019-06-10,05664,2019,24,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-06-10,05686,2019,24,1,0.0,4,False,1.0,0.0,0.0,0.0
2019-06-17,05001,2019,25,11,0.0,9,False,0.7272727272727273,0.0,0.0,0.2727272727272727
2019-06-17,05030,2019,25,1,0.0,13,False,1.0,0.0,0.0,0.0
2019-06-17,05088,2019,25,2,0.0,8,False,1.0,0.0,0.0,0.0
2019-06-17,05154,2019,25,1,0.0,8,False,0.0,0.0,0.0,1.0
2019-06-17,05237,2019,25,2,0.0,9,False,1.0,0.0,0.0,0.0
2019-06-17,05266,2019,25,1,0.0,8,False,1.0,0.0,0.0,0.0
2019-06-17,05390,2019,25,1,0.0,8,False,1.0,0.0,0.0,0.0
2019-06-17,05579,2019,25,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-06-17,05736,2019,25,1,0.0,5,False,0.0,0.0,0.0,1.0
2019-06-17,05842,2019,25,1,0.0,6,False,0.0,0.0,0.0,1.0
2019-06-24,05001,2019,26,8,0.0,8,False,0.375,0.0,0.0,0.625
2019-06-24,05088,2019,26,1,0.0,8,False,0.0,0.0,0.0,1.0
2019-06-24,05093,2019,26,1,0.0,8,False,0.0,0.0,0.0,1.0
2019-06-24,05154,2019,26,1,0.0,13,False,0.0,0.0,0.0,1.0
2019-06-24,05250,2019,26,1,0.0,11,False,0.0,0.0,0.0,1.0
2019-06-24,05318,2019,26,1,0.0,7,False,1.0,0.0,0.0,0.0
2019-06-24,05360,2019,26,1,0.0,6,False,1.0,0.0,0.0,0.0
2019-06-24,05736,2019,26,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-06-24,05887,2019,26,1,0.0,8,False,0.0,0.0,0.0,1.0
