codigo_dane,anio,semana_epi,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,pm10_avg,pm25_avg,fuente_pm,metodo_imputacion
05001,2021,18,18.333,86.0,0.321,854.133,33.256,15.207,SISAIRE_DIRECTO,directo
05001,2021,19,21.725,71.821,13.605,851.904,34.221,13.474,SISAIRE_DIRECTO,directo
05001,2021,20,22.011,74.808,11.27,851.655,34.396,14.219,SISAIRE_DIRECTO,directo
05001,2021,21,21.376,77.083,40.812,852.389,39.043,16.552,SISAIRE_DIRECTO,directo
05001,2021,22,21.812,74.125,44.339,851.655,36.442,14.312,SISAIRE_DIRECTO,directo
05001,2021,23,20.73,79.503,63.645,852.709,41.376,17.371,SISAIRE_DIRECTO,directo
05001,2021,24,21.66,72.827,53.314,852.756,37.558,14.405,SISAIRE_DIRECTO,directo
05001,2021,25,20.596,76.173,35.75,852.935,40.937,16.414,SISAIRE_DIRECTO,directo
05001,2021,26,22.079,67.024,20.0,852.577,37.379,14.765,SISAIRE_DIRECTO,directo
05001,2021,27,22.587,67.539,20.381,851.619,35.765,14.747,SISAIRE_DIRECTO,directo
05001,2021,28,22.665,64.419,57.513,852.139,35.092,14.355,SISAIRE_DIRECTO,directo
05001,2021,29,22.705,62.707,13.932,852.159,34.059,15.219,SISAIRE_DIRECTO,directo
05001,2021,30,22.093,69.806,29.423,852.404,37.66,16.187,SISAIRE_DIRECTO,directo
05001,2021,31,22.598,60.096,14.463,853.253,43.429,20.577,SISAIRE_DIRECTO,directo
05001,2021,32,21.44,77.613,48.203,853.157,34.909,16.264,SISAIRE_DIRECTO,directo
05001,2021,33,20.855,76.803,26.892,851.98,37.279,17.186,SISAIRE_DIRECTO,directo
05001,2021,34,21.303,77.575,29.291,851.317,39.945,18.255,SISAIRE_DIRECTO,directo
05001,2021,35,21.0,76.689,78.581,852.304,37.168,16.542,SISAIRE_DIRECTO,directo
05001,2021,36,20.991,76.804,28.044,852.599,40.196,19.328,SISAIRE_DIRECTO,directo
05001,2021,37,22.91,61.948,30.613,852.503,33.971,16.014,SISAIRE_DIRECTO,directo
05001,2021,38,21.572,72.252,41.942,851.879,37.401,16.936,SISAIRE_DIRECTO,directo
05001,2021,39,21.139,73.744,29.588,851.577,41.879,18.901,SISAIRE_DIRECTO,directo
05001,2021,40,22.261,70.233,26.694,850.724,35.57,16.31,SISAIRE_DIRECTO,directo
05001,2021,41,21.166,76.2,55.467,852.049,43.039,20.426,SISAIRE_DIRECTO,directo
05001,2021,42,21.238,73.208,39.122,852.663,39.827,17.55,SISAIRE_DIRECTO,directo
05001,2021,43,20.471,78.923,70.393,852.706,42.945,19.345,SISAIRE_DIRECTO,directo
05001,2021,44,21.272,74.874,6.029,851.964,38.421,16.718,SISAIRE_DIRECTO,directo
05001,2021,45,20.645,79.564,71.947,851.729,43.292,20.033,SISAIRE_DIRECTO,directo
05001,2021,46,21.21,75.903,32.828,851.089,41.895,20.548,SISAIRE_DIRECTO,directo
05001,2021,47,20.374,82.732,52.711,851.637,43.038,20.356,SISAIRE_DIRECTO,directo
