codigo_dane,anio,semana_epi,fecha_semana,casos_ira_total,tasa_ira_100k,pm25_avg,pm10_avg,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,fuente_pm,pm25_lag1,pm25_lag2,casos_ira_lag1,icv_score,nbi,ipm_pct,icv_hacinamiento,icv_menores_6,icv_seg_social,pct_vivienda_acueducto,icv_paredes,icv_pisos,edad_promedio,rezago_reporte_dias,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado,periodo_pandemia,subregion,poblacion_total,ipt_score,nivel_riesgo
05001,2018,50,2018-12-10,8,0.3296,21.467,33.551,20.673,71.449,6.422,852.382,IMPUTADO_PA,14.181,12.639,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.5,0.0,0.0,0.5,False,Valle de Aburrá,2427133.0,61.25,MEDIO
05001,2018,51,2018-12-17,7,0.2884,18.177,48.579,20.359,70.64,5.201,851.42,IMPUTADO_PA,21.467,14.181,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,0.5714285714285714,0.0,0.0,0.4285714285714285,False,Valle de Aburrá,2427133.0,51.64,MEDIO
05001,2018,52,2018-12-24,5,0.206,18.269,44.75,21.199,65.208,0.0,849.809,IMPUTADO_PA,18.177,21.467,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.6,0.0,0.0,0.4,False,Valle de Aburrá,2427133.0,47.07,MEDIO
05001,2019,1,2018-12-31,7,0.2851,18.851,33.46,21.702,59.878,48.616,850.406,IMPUTADO_PA,18.269,18.177,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.8571428571428571,0.0,0.0,0.1428571428571428,False,Valle de Aburrá,2455336.0,52.89,MEDIO
05001,2019,2,2019-01-07,8,0.3258,18.781,32.549,19.182,75.467,44.163,852.573,IMPUTADO_PA,18.851,18.269,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.375,0.0,0.0,0.625,False,Valle de Aburrá,2455336.0,54.85,MEDIO
05001,2019,3,2019-01-14,7,0.2851,26.355,23.085,20.548,70.485,16.539,851.587,IMPUTADO_PA,18.781,18.851,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.5714285714285714,0.0,0.0,0.4285714285714285,False,Valle de Aburrá,2455336.0,63.48,MEDIO
05001,2019,4,2019-01-21,2,0.0815,24.638,36.481,21.969,65.426,0.876,850.996,IMPUTADO_PA,26.355,18.781,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,1.0,0.0,0.0,0.0,False,Valle de Aburrá,2455336.0,45.9,MEDIO
05001,2019,5,2019-01-28,5,0.2036,20.287,25.003,20.58,71.03,19.978,851.458,IMPUTADO_PA,24.638,26.355,2.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.2,0.2,0.0,0.6,False,Valle de Aburrá,2455336.0,51.29,MEDIO
05001,2019,6,2019-02-04,11,0.448,23.105,31.251,20.98,71.351,0.732,850.294,IMPUTADO_PA,20.287,24.638,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.5454545454545454,0.0,0.0909090909090909,0.3636363636363636,False,Valle de Aburrá,2455336.0,75.08,ALTO
05001,2019,7,2019-02-11,8,0.3258,23.784,35.009,21.846,69.851,2.823,851.257,IMPUTADO_PA,23.105,20.287,11.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,0.625,0.0,0.0,0.375,False,Valle de Aburrá,2455336.0,63.95,MEDIO
05001,2019,8,2019-02-18,4,0.1629,29.576,33.228,20.703,73.391,105.743,851.477,IMPUTADO_PA,23.784,23.105,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.75,0.0,0.25,0.0,False,Valle de Aburrá,2455336.0,52.32,MEDIO
05001,2019,9,2019-02-25,8,0.3258,18.47,36.082,19.816,76.643,121.411,851.912,IMPUTADO_PA,29.576,23.784,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,5.0,0.375,0.0,0.125,0.5,False,Valle de Aburrá,2455336.0,54.21,MEDIO
05001,2019,10,2019-03-04,5,0.2036,23.731,44.125,21.132,72.284,25.105,851.052,IMPUTADO_PA,18.47,29.576,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,4.0,0.6,0.0,0.2,0.2,False,Valle de Aburrá,2455336.0,56.77,MEDIO
05001,2019,11,2019-03-11,11,0.448,26.333,37.293,21.176,73.193,14.3,850.623,IMPUTADO_PA,23.731,18.47,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.7272727272727273,0.0,0.0,0.2727272727272727,False,Valle de Aburrá,2455336.0,77.76,ALTO
05001,2019,12,2019-03-18,8,0.3258,28.99,26.757,19.429,80.483,68.6,852.208,IMPUTADO_PA,26.333,23.731,11.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,10.0,0.5,0.0,0.125,0.375,False,Valle de Aburrá,2455336.0,66.69,ALTO
05001,2019,13,2019-03-25,9,0.3665,20.094,28.544,20.277,77.78,65.8,851.568,IMPUTADO_PA,28.99,26.333,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.5555555555555556,0.0,0.0,0.4444444444444444,False,Valle de Aburrá,2455336.0,63.72,MEDIO
