codigo_dane,anio,poblacion_total
05190,2025,10092.0
05197,2025,16089.0
05206,2025,5112.0
05209,2025,22163.0
05212,2025,90882.0
05234,2025,24808.0
05237,2025,19793.0
05240,2025,12612.0
05250,2025,56197.0
05264,2025,12736.0
05266,2025,264637.0
05282,2025,26401.0
05284,2025,21778.0
05306,2025,6404.0
05308,2025,61439.0
05310,2025,10373.0
05313,2025,10511.0
05315,2025,7009.0
05318,2025,65173.0
05321,2025,9695.0
05347,2025,5038.0
05353,2025,5929.0
05360,2025,304527.0
05361,2025,29515.0
05364,2025,15433.0
05368,2025,14376.0
05376,2025,73275.0
05380,2025,83089.0
05390,2025,8654.0
05400,2025,24057.0
05411,2025,10854.0
05425,2025,8873.0
05440,2025,74390.0
05467,2025,6538.0
05475,2025,5896.0
05480,2025,13821.0
05483,2025,11000.0
05490,2025,42569.0
05495,2025,29415.0
05501,2025,3469.0
05541,2025,23827.0
05543,2025,8782.0
05576,2025,9053.0
05579,2025,39192.0
05585,2025,15584.0
05591,2025,20173.0
05604,2025,33021.0
05607,2025,27218.0
05615,2025,154192.0
05628,2025,9909.0
05631,2025,106652.0
05642,2025,18925.0
05647,2025,7402.0
05649,2025,16938.0
05652,2025,6058.0
05656,2025,18345.0
05658,2025,4017.0
05659,2025,19946.0
05660,2025,14447.0
05664,2025,22287.0
05665,2025,32471.0
05667,2025,17411.0
05670,2025,24555.0
05674,2025,24776.0
05679,2025,29470.0
05686,2025,40261.0
05690,2025,13488.0
05697,2025,39984.0
05736,2025,39343.0
05756,2025,35980.0
05761,2025,16523.0
05789,2025,16674.0
05790,2025,29298.0
05792,2025,6556.0
05809,2025,11537.0
05819,2025,4824.0
05837,2025,130233.0
05842,2025,7455.0
05847,2025,31988.0
05854,2025,15014.0
05856,2025,6714.0
05858,2025,12160.0
05861,2025,12412.0
05873,2025,11430.0
05885,2025,7719.0
05887,2025,41884.0
05890,2025,25038.0
05893,2025,22061.0
05895,2025,26785.0
05001,2026,2526795.0
05002,2026,21126.0
05004,2026,2804.0
05021,2026,5347.0
05030,2026,33092.0
05031,2026,29394.0
05034,2026,45436.0
05036,2026,6214.0
05038,2026,12558.0
05040,2026,21307.0
05042,2026,28673.0
05044,2026,7737.0
05045,2026,125881.0
05051,2026,31950.0
05055,2026,8242.0
05059,2026,5292.0
05079,2026,64314.0
05086,2026,6148.0
05088,2026,609168.0
05091,2026,10743.0
05093,2026,17068.0
05101,2026,27720.0
05107,2026,7905.0
05113,2026,11168.0
05120,2026,28944.0
05125,2026,9134.0
05129,2026,89671.0
05134,2026,10063.0
05138,2026,15337.0
05142,2026,4482.0
05145,2026,4444.0
05147,2026,51298.0
05148,2026,70734.0
05150,2026,3932.0
05154,2026,93976.0
05172,2026,56664.0
05190,2026,10136.0
05197,2026,16099.0
05206,2026,5136.0
05209,2026,22145.0
05212,2026,92069.0
05234,2026,24937.0
05237,2026,19849.0
05240,2026,12571.0
05250,2026,56596.0
05264,2026,12894.0
05266,2026,268381.0
05282,2026,26522.0
05284,2026,21808.0
05306,2026,6491.0
05308,2026,62138.0
05310,2026,10420.0
05313,2026,10502.0
05315,2026,7031.0
05318,2026,66158.0
05321,2026,9842.0
05347,2026,4961.0
05353,2026,5966.0
05360,2026,306397.0
05361,2026,29650.0
05364,2026,15531.0
05368,2026,14414.0
05376,2026,74386.0
05380,2026,84068.0
05390,2026,8722.0
05400,2026,24374.0
05411,2026,10896.0
05425,2026,8902.0
05440,2026,75558.0
05467,2026,6477.0
05475,2026,6023.0
05480,2026,13717.0
05483,2026,11059.0
05490,2026,42372.0
05495,2026,29853.0
05501,2026,3496.0
05541,2026,24121.0
05543,2026,8835.0
05576,2026,9073.0
05579,2026,39161.0
05585,2026,15675.0
05591,2026,20322.0
05604,2026,33548.0
05607,2026,27622.0
05615,2026,156303.0
05628,2026,9963.0
05631,2026,109260.0
05642,2026,18910.0
05647,2026,7380.0
05649,2026,16961.0
05652,2026,6089.0
05656,2026,18757.0
05658,2026,4070.0
05659,2026,19844.0
05660,2026,14593.0
05664,2026,22252.0
05665,2026,32528.0
05667,2026,17572.0
05670,2026,24855.0
05674,2026,24984.0
05679,2026,29737.0
05686,2026,40697.0
05690,2026,13568.0
05697,2026,40538.0
05736,2026,39549.0
05756,2026,35750.0
05761,2026,16647.0
05789,2026,16646.0
05790,2026,29542.0
05792,2026,6597.0
05809,2026,11582.0
05819,2026,4767.0
05837,2026,130286.0
05842,2026,7527.0
05847,2026,32148.0
05854,2026,15105.0
05856,2026,6717.0
05858,2026,12183.0
05861,2026,12494.0
05873,2026,11686.0
05885,2026,7724.0
05887,2026,41853.0
05890,2026,25236.0
05893,2026,22429.0
05895,2026,26996.0
05001,2027,2524037.0
05002,2027,21111.0
05004,2027,2803.0
05021,2027,5426.0
05030,2027,33286.0
05031,2027,29697.0
05034,2027,45497.0
05036,2027,6254.0
05038,2027,12632.0
05040,2027,21600.0
05042,2027,28926.0
05044,2027,7775.0
05045,2027,126544.0
05051,2027,32169.0
05055,2027,8293.0
05059,2027,5281.0
05079,2027,65140.0
05086,2027,6127.0
05088,2027,616000.0
05091,2027,10731.0
05093,2027,17159.0
05101,2027,27860.0
05107,2027,7830.0
05113,2027,11308.0
05120,2027,28782.0
05125,2027,9165.0
05129,2027,90237.0
05134,2027,10111.0
05138,2027,15226.0
05142,2027,4449.0
05145,2027,4373.0
05147,2027,51656.0
05148,2027,71835.0
05150,2027,3947.0
05154,2027,94074.0
05172,2027,56594.0
05190,2027,10193.0
05197,2027,16087.0
05206,2027,5154.0
05209,2027,22084.0
05212,2027,93226.0
05234,2027,25072.0
05237,2027,19915.0
05240,2027,12524.0
05250,2027,56985.0
05264,2027,13058.0
05266,2027,272032.0
05282,2027,26624.0
05284,2027,21831.0
05306,2027,6568.0
05308,2027,62828.0
05310,2027,10482.0
05313,2027,10528.0
05315,2027,7032.0
05318,2027,67061.0
05321,2027,10005.0
05347,2027,4872.0
05353,2027,6012.0
05360,2027,308131.0
05361,2027,29756.0
05364,2027,15609.0
05368,2027,14467.0
05376,2027,75466.0
05380,2027,84995.0
05390,2027,8805.0
05400,2027,24678.0
05411,2027,10910.0
05425,2027,8927.0
05440,2027,76679.0
05467,2027,6394.0
05475,2027,6136.0
05480,2027,13640.0
05483,2027,11124.0
05490,2027,42124.0
05495,2027,30257.0
05501,2027,3492.0
05541,2027,24387.0
05543,2027,8903.0
05576,2027,9087.0
05579,2027,39150.0
05585,2027,15726.0
05591,2027,20442.0
05604,2027,34072.0
05607,2027,28011.0
05615,2027,158292.0
05628,2027,10001.0
05631,2027,111801.0
05642,2027,18869.0
05647,2027,7348.0
05649,2027,16966.0
05652,2027,6111.0
05656,2027,19118.0
05658,2027,4114.0
05659,2027,19726.0
05660,2027,14753.0
05664,2027,22210.0
05665,2027,32584.0
05667,2027,17763.0
05670,2027,25142.0
05674,2027,25190.0
05679,2027,29937.0
05686,2027,41115.0
05690,2027,13605.0
05697,2027,41037.0
05736,2027,39699.0
05756,2027,35504.0
05761,2027,16755.0
05789,2027,16606.0
05790,2027,29772.0
05792,2027,6644.0
05809,2027,11660.0
05819,2027,4724.0
05837,2027,130264.0
05842,2027,7544.0
05847,2027,32325.0
05854,2027,15174.0
05856,2027,6730.0
05858,2027,12206.0
05861,2027,12549.0
05873,2027,11920.0
05885,2027,7696.0
05887,2027,41834.0
05890,2027,25433.0
05893,2027,22789.0
05895,2027,27205.0
05001,2028,2520340.0
05002,2028,21055.0
05004,2028,2797.0
05021,2028,5512.0
