codigo_dane,anio,semana_epi,fecha_semana,nivel_alerta,prediccion_casos_t1,desviacion_prediccion_pct,variable_causal,media_hist_mun_sem,shap_max_value
05001,2019,33,2019-08-12,ALERTA_VERDE,2.88,23.43,casos_ira_lag1,2.3333333333333335,1.977907419204712
05001,2019,34,2019-08-19,ALERTA_VERDE,3.06,14.75,media_hist_mun_sem,2.6666666666666665,0.9461442828178406
05001,2019,35,2019-08-26,ALERTA_VERDE,3.22,-28.44,media_hist_mun_sem,4.5,0.9254626035690308
05001,2019,36,2019-09-02,ALERTA_VERDE,3.72,1.45,media_hist_mun_sem,3.6666666666666665,0.9100707769393921
05001,2019,37,2019-09-09,ALERTA_VERDE,2.02,-74.75,casos_ira_total,8.0,1.154088020324707
05001,2019,38,2019-09-16,ALERTA_ROJA,3.82,91.0,casos_ira_lag1,2.0,1.5765907764434814
05001,2019,39,2019-09-23,ALERTA_VERDE,2.53,-24.1,media_hist_mun_sem,3.3333333333333335,0.9222019910812378
05001,2019,40,2019-09-30,ALERTA_VERDE,3.29,-6.0,media_hist_mun_sem,3.5,0.8671817779541016
05001,2019,41,2019-10-07,ALERTA_VERDE,2.82,-37.33,media_hist_mun_sem,4.5,0.9976668357849121
05001,2019,42,2019-10-14,ALERTA_VERDE,3.14,4.67,media_hist_mun_sem,3.0,0.7225554585456848
05001,2019,43,2019-10-21,ALERTA_NARANJA,5.96,32.44,media_hist_mun_sem,4.5,1.1980711221694946
05001,2019,44,2019-10-28,ALERTA_VERDE,4.54,-9.2,casos_ira_total,5.0,1.8440508842468262
05001,2019,45,2019-11-04,ALERTA_VERDE,3.59,-40.17,casos_ira_lag1,6.0,1.7776168584823608
05001,2019,46,2019-11-11,ALERTA_NARANJA,5.45,55.71,media_hist_mun_sem,3.5,1.1277697086334229
05001,2019,47,2019-11-18,ALERTA_VERDE,4.98,-6.62,casos_ira_total,5.333333333333333,1.9983584880828857
05001,2019,48,2019-11-25,ALERTA_VERDE,6.27,4.5,casos_ira_lag1,6.0,1.527589201927185
05001,2019,49,2019-12-02,ALERTA_NARANJA,6.4,37.14,casos_ira_total,4.666666666666667,1.4466592073440552
05001,2019,50,2019-12-09,ALERTA_VERDE,9.61,28.13,casos_ira_lag1,7.5,1.783996820449829
05001,2019,51,2019-12-16,ALERTA_ROJA,10.92,72.42,casos_ira_total,6.333333333333333,2.5401980876922607
05001,2019,52,2019-12-23,ALERTA_NARANJA,11.05,30.0,casos_ira_lag1,8.5,2.6130950450897217
05001,2020,1,2019-12-30,ALERTA_VERDE,9.38,4.22,casos_ira_lag1,9.0,2.4447081089019775
